SUBSTÂNCIA	PRODUTO	CLASSE TERAPÊUTICA	TIPO DE PRODUTO (STATUS DO PRODUTO)	TARJA	DESTINAÇÃO COMERCIAL 
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL	BAYCUTEN N	D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS	Novo	- (*) 	
ABATACEPTE	ORENCIA	M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS	Biológico	Tarja Vermelha	
ABEMACICLIBE	VERZENIOS	L1H - INIBIDORES DE PROTEINA QUINASE	Novo	Tarja Vermelha	
ABROCITINIBE	CIBINQO	D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS	Novo	Tarja Vermelha	
ACARBOSE	AGLUCOSE	A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE	Similar	- (*) 	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	FILINAR G	R5C - EXPECTORANTES	Novo	- (*) 	
ACEBROFILINA	FILINAR	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha sob restrição	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	LISOMUC	R5C - EXPECTORANTES	Similar	- (*) 	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	MELYSSE	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	BRONDILAT	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	BRONCOMUCOL	R5C - EXPECTORANTES	Similar	- (*) 	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	BRONTEK	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	Tarja Vermelha	
ACEBROFILINA	ACEBROFILINA	R5C - EXPECTORANTES	Genérico	- (*) 	
ACEBROFILINA	BRONCOLEX	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACEBROFILINA	RESPIRAN	R5C - EXPECTORANTES	Similar	Tarja Vermelha	
ACECLOFENACO	PROFLAM	M2A - ANTIRREUMÁTICOS E ANALGÉSICOS TÓPICOS	Novo	- (*) 	
